business_id,zip
Apn5Q_b6Nz61Tq4XzPdf9A,not_in_census_zip
AjEbIBw6ZFfln7ePHha9PA,89005
O8S5hYJ1SMc8fA4QBtVujA,not_in_census_zip
45bWSZtniwPRiqlivpS8Og,85050
9A2quhZLyWk0akUetBd8hQ,not_in_census_zip
6OuOZAok8ikONMS_T3EzXg,not_in_census_zip
8-NRKkPY1UiFXW20WXKiXg,85323
UTm5QZThPQlT35mkAcGOjg,15213
tZnSodhPwNr4bzrwJ1CSbw,not_in_census_zip
_c3ixq9jYKxhLUB0czi0ug,85007
bBUMib8l6Me1ZB1_Qkezkg,not_in_census_zip
IbTDLI02Sq50C7B-EWK1sg,not_in_census_zip
r89Re4FNgVWHgBfjCVZyVw,not_in_census_zip
hTzcHtk4-0QJnFUbkKpd5Q,89106
3ByGQOVgds2YEu6kzl-XEQ,85033
5J3b7j3Fzo9ISjChmoUoUA,not_in_census_zip
CeuTRtwsq6w5rztGOyNMPg,85033
gsoSAb9t7Ar7Ww6O_3GuOg,61856
PMDlKLd0Mxj0ngCpuUmE5Q,not_in_census_zip
6YC6CsXRrmPv_iwfvc9onA,44241
42uRhhQDzbtKrUYoBPXS8A,53590
B_mz59xi-Q3zCIiXsnBM_A,53590
kgffcoxT6BQp-gJ-UQ7Czw,89134
0jtRI7hVMpQHpUVtUy4ITw,89134
pbluh-ZZi_i8XlprfWB1nQ,85331
UeyHx5LMFjjI4d-NTYkX9Q,44062
qHF2s8U2yzPLgIOGH_IMBw,44112
AcGRSWCpb7YB95MTsHlGEw,85033
7A6mfqSfG3AG3WZcr45m-Q,15241
3pcHGNI8WHv44fcvgkLrMg,not_in_census_zip
0i6GlR5YTCMlwthjqw6ZTQ,89102
2C8x0RxmqvCOmhvXce4-HA,not_in_census_zip
cKRMmytHxaSt8F0SMEzKqg,85023
DR30lzIHVTF6xhyMI-3IlQ,89102
Be7Mwq06nf1eNLblo1ekow,not_in_census_zip
AYL_y8ahquUW0o-cvIyLbg,28208
Go1avDDg--JjbdI2aRJQog,not_in_census_zip
tKjW_YEP-vcuEwJ5di2HBA,85353
UmZnFzo-NK2daxkl3_Rieg,15236
RJEtBRLJmmji_QoqS6ysjg,not_in_census_zip
f2FfutZhb4F-m1Ob0EdYaw,15232
c0XiOTAsYAcsKAqxSVfDOw,44240
wAoCkTlBPr0wDGByS3gDfQ,44118
IuUgEL8Nu_Vbif057-659Q,44240
tXMYTZc0lxLNpnU1lI5j0Q,85379
YIez_A3WOt9J2SXN7OMa2Q,not_in_census_zip
y0f3gSQGDMNJiCfTH4CsXA,85266
xuUzASHWjRJRFv6Ck5pO7g,not_in_census_zip
coVhQD_EAnCof_a8sGM03g,89103
dYBF1MFzxo6DehQVYsjxXA,85353
3jh0v0Gz7OOhDmWnQ7sP5g,89130
j7yI3qYRsbGBUv9rShLCaQ,not_in_census_zip
mr3rQcYBKWu2L6o7qtQ9Wg,not_in_census_zip
qfcdMhm1Ff28JHVpHca20g,15213
_BTuRiKz1PlotKek4AtzzQ,28277
DqZzBPoiGt_FCTfNwPYwzw,not_in_census_zip
rahEQ5YzoOu7uoWFMca3xw,not_in_census_zip
U1xFNmJl4SVmKS1YYkneuA,not_in_census_zip
Q_cfbLdAxkLiEZW5TO5T6A,not_in_census_zip
Ea5a2Ov4s_D3Vx4j7jkEEg,not_in_census_zip
cuXCQM-9VwpZlSneEY1b3w,not_in_census_zip
XEGzpaKszjDXqSJtLYwKsg,85282
qBd6uxX63lQuM7lzJ_Xihg,85019
Yy5uiC3WI6K4kDHONKh8_g,not_in_census_zip
zXRf_6Bs1yX9an_QKpzbHQ,28217
F73T-N5lRNL2Gcpg0Q4KKw,85253
SUhBnQdG8MWkmjM6wsnVdw,85257
pnYDtPaVw_xRBHm9y0y4gg,44135
hsWx7ya8jLMhi8ZWX23Thg,not_in_census_zip
ypCw9elxgA7vlxY_p5EXzA,44116
RcxVK_OEXv3MccIo0nYMZg,85305
WUA2Rhlb43HBw9sT2R0wmg,85345
lBzZKw6FYxbin9de9GAhTQ,not_in_census_zip
i2Fd0dl39BZ8nVxBnSPsKg,not_in_census_zip
BQJjDcSO8GwPUbCx1HRmKw,not_in_census_zip
06zYmp6wz6DXKRKSv4co8Q,28277
2j5hnwYzS-YLJn6IFqloCw,not_in_census_zip
q-7QwdjOZTwM9r6Q_JjqyA,28277
OLg1IeS-QxZgNprQ4Hg9gg,not_in_census_zip
rFeJgbnLxtcdqIpBdhpxtQ,85258
HHjQWysnOJiW2qYQR-SSJQ,85034
s2gjJKptpkmwSXYRtfptZQ,85305
zhxnD7J5_sCrKSw5cwI9dQ,89110
c3ukNv4GHicrT6K9G2IW3w,85204
2kWrSFkIes_d2BMg4YrRtA,89110
ahhMOgbZHCT_Xkhn4M49Dw,44286
6llKs7K_tn8ChXcIM-oTvg,89169
_T8qy9XAKAFLJdmoLg1Q-g,not_in_census_zip
h_pNipJ6r0zliPIs6MzR6A,not_in_census_zip
FI6XxleZ6Z1xJ9BS4zLKgQ,not_in_census_zip
